,Make,Type,Origin,DriveTrain,MSRP,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Convertible,Doors_2,Model Name
0,Acura,SUV,Asia,All,36945,3.5,6,265,17,23,4451,106,189,0,0,MDX
1,Acura,Sedan,Asia,Front,23820,2.0,4,200,24,31,2778,101,172,0,1,RSX
2,Acura,Sedan,Asia,Front,26990,2.4,4,200,22,29,3230,105,183,0,0,TSX
3,Acura,Sedan,Asia,Front,33195,3.2,6,270,20,28,3575,108,186,0,0,TL
4,Acura,Sedan,Asia,Front,43755,3.5,6,225,18,24,3880,115,197,0,0,3.5
5,Acura,Sedan,Asia,Front,46100,3.5,6,225,18,24,3893,115,197,0,0,3.5
6,Acura,Sports,Asia,Rear,67511,3.2,6,290,17,24,3153,100,174,0,1,NSX
7,Audi,Sedan,Europe,Front,25940,1.8,4,170,22,31,3252,104,179,0,0,A4
8,Audi,Sedan,Europe,Front,35940,1.8,4,170,23,30,3638,105,180,1,1,A41.8T
9,Audi,Sedan,Europe,Front,31840,3.0,6,220,20,28,3462,104,179,0,0,A4
10,Audi,Sedan,Europe,All,33430,3.0,6,220,17,26,3583,104,179,0,0,A4
11,Audi,Sedan,Europe,All,34480,3.0,6,220,18,25,3627,104,179,0,0,A4
12,Audi,Sedan,Europe,Front,36640,3.0,6,220,20,27,3561,109,192,0,0,A6
13,Audi,Sedan,Europe,All,39640,3.0,6,220,18,25,3880,109,192,0,0,A6
14,Audi,Sedan,Europe,Front,42490,3.0,6,220,20,27,3814,105,180,1,1,A4
15,Audi,Sedan,Europe,All,44240,3.0,6,220,18,25,4013,105,180,1,1,A4
16,Audi,Sedan,Europe,All,42840,2.7,6,250,18,25,3836,109,192,0,0,A6
17,Audi,Sedan,Europe,All,49690,4.2,8,300,17,24,4024,109,193,0,0,A6
18,Audi,Sedan,Europe,All,67511,4.2,8,330,17,24,4399,121,204,0,0,A8
19,Audi,Sedan,Europe,All,48040,4.2,8,340,14,20,3825,104,179,0,0,S4
